session_id,date,subject,subject_b,device_mode,metric,electrode,roles,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,is_blink,latency_ms,mean_alpha,mean_tbr,mean_ei,blink_count
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,7,rest,rest,left,0.083978,0.5,1,1,0.812436,4968.332055,26.379198,0.053373,6.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,8,rest,attention,left,0.105724,0.500642,-1,1,0.784513,187.484246,15.714569,0.126832,3.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,9,rest,rest,right,0.04913,0.5,1,1,0.8585,417.582925,15.9122,0.100203,7.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,10,rest,attention,right,0.579906,0.5545,1,1,0.778098,59.836749,8.851049,0.215865,2.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,11,rest,rest,left,0.0,0.5,1,1,0.80325,12149.079092,23.05284,0.164075,6.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,12,rest,attention,left,0.090694,0.5,1,1,0.78965,174.511036,15.663937,0.121784,3.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,13,rest,rest,right,0.235988,0.5,-1,1,0.787925,3676.588095,14.304573,0.158464,4.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,14,rest,attention,right,0.49451,0.530321,1,1,0.841119,100.90823,17.589541,0.106455,3.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,15,rest,rest,left,0.261799,0.5,1,1,0.903548,2147.285572,9.735772,0.127753,8.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,16,rest,attention,left,0.071998,0.5,-1,1,0.9024,14210.076422,5.507126,0.236539,7.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,17,rest,rest,right,0.005608,0.5,-1,1,0.891821,262039.638649,13.352092,0.176635,7.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,18,rest,attention,right,0.178641,0.504844,1,1,0.883585,109.919461,10.617776,0.15568,2.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,19,rest,rest,left,0.0,0.5,1,1,0.829881,22438.534823,20.30712,0.085535,6.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,20,rest,attention,left,0.168493,0.501672,-1,1,0.838103,81.212506,12.208391,0.09959,1.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,21,rest,rest,right,0.035274,0.5,1,1,0.812051,86340.467095,17.179148,0.10399,8.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,22,rest,attention,right,0.212975,0.5,1,1,0.785095,121.151822,14.254235,0.119117,3.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,23,rest,rest,left,0.032784,0.5,1,1,0.811024,146.403752,12.505375,0.144312,3.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,24,rest,attention,left,0.05932,0.5,-1,1,0.803487,144.692473,13.527774,0.125266,2.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,25,rest,rest,right,0.13709,0.5,-1,1,0.783775,18969.087717,26.30272,0.10771,6.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,26,rest,attention,right,0.012117,0.5,1,1,0.75605,166.926745,11.849449,0.127791,3.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,27,rest,rest,left,0.0,0.5,-1,1,0.792659,4094.234439,23.655987,0.094832,6.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,28,rest,attention,left,0.071834,0.5,-1,1,0.853762,99.958851,11.894542,0.113118,1.0
